Codigo;Nombre;CodigoPadre
A00;COLERA;NULL
A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE;A00
A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR;A00
A009;COLERA NO ESPECIFICADO;A00
A01;FIEBRES TIFOIDEA Y PARATIFOIDEA;NULL
A010;FIEBRE TIFOIDEA;A01
A011;FIEBRE PARATIFOIDEA A;A01
A012;FIEBRE PARATIFOIDEA B;A01
A013;FIEBRE PARATIFOIDEA C;A01
A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA;A01
A02;OTRAS INFECCIONES DEBIDAS SALMONELLA;NULL
A020;ENTERITIS DEBIDA A SALMONELLA;A02
A021;SEPTICEMIA DEBIDA A SALMONELLA;A02
A022;INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA;A02
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;A02
A029;INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA;A02
A03;SHIGELOSIS;NULL
A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;A03
A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;A03
A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;A03
A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;A03
A038;OTRAS SHIGELOSIS;A03
A039;SHIGELOSIS DE TIPO NO ESPECIFICADO;A03
A04;OTRAS INFECCIONES INTESTINALES BACTERIANAS;NULL
A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;A04
A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;A04
A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;A04
A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;A04
A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;A04
A045;ENTERITIS DEBIDA A CAMPYLOBACTER;A04
A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;A04
A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;A04
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;A04
A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA;A04
A05;OTRAS INTOXICACIONES INTESTINALES BACTERIANAS;NULL
A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA;A05
A051;BOTULISMO;A05
A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII];A05
A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;A05
A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS;A05
A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;A05
A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA;A05
A06;AMEBIASIS;NULL
A060;DISENTERIA AMEBIANA AGUDA;A06
A061;AMEBIASIS INTESTINAL CRONICA;A06
A062;COLITIS AMEBIANA NO DISENTERICA;A06
A063;AMEBOMA INTESTINAL;A06
A064;ABSCESO AMEBIANO DEL HIGADO;A06
A065;ABSCESO AMEBIANO DEL PULMON (J99.8);A06
A066;ABSCESO AMEBIANO DEL CEREBRO (G07);A06
A067;AMEBIASIS CUTANEA;A06
A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES;A06
A069;AMEBIASIS, NO ESPECIFICADA;A06
A07;OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS;NULL
A070;BALANTIDIASIS;A07
A071;GIARDIASIS [LAMBLIASIS];A07
A072;CRIPTOSPORIDIOSIS;A07
A073;ISOSPORIASIS;A07
A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS;A07
A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA;A07
A08;INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS;NULL
A080;ENTERITIS DEBIDA A ROTAVIRUS;A08
A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK;A08
A082;ENTERITIS DEBIDA A ADENOVIRUS;A08
